# AEROCUBE 6A TLE list generated on 2018-09-21 15:08:40.883252
# epoch, line1, line2 
2018-01-01 05:37:24.337344, 1 40045U 14033AM  18001.23430946 +.00000444 +00000-0 +71718-4 0  9995, 2 40045 097.8455 246.1281 0058739 012.7535 347.5144 14.75027860189671
2018-01-02 09:18:01.880064, 1 40045U 14033AM  18002.38752176  .00000424  00000-0  68871-4 0  9998, 2 40045  97.8455 247.2461 0058668   9.0805 351.1451 14.75028917190086
2018-01-03 14:36:20.375424, 1 40045U 14033AM  18003.60856916 +.00000404 +00000-0 +65980-4 0  9997, 2 40045 097.8454 248.4300 0058587 005.1734 355.0068 14.75029963190021
2018-01-04 15:01:35.733792, 1 40045U 14033AM  18004.62610803 +.00000378 +00000-0 +62205-4 0  9990, 2 40045 097.8454 249.4165 0058517 001.9109 358.2313 14.75030737190179
2018-01-05 04:03:03.901824, 1 40045U 14033AM  18005.16879516  .00000368  00000-0  60841-4 0  9991, 2 40045  97.8453 249.9427 0058473   0.1750 359.9470 14.75031202190493
2018-01-06 06:06:00.205920, 1 40045U 14033AM  18006.25416905  .00000358  00000-0  59353-4 0  9996, 2 40045  97.8452 250.9950 0058397 356.7014   3.3802 14.75032107190655
2018-01-07 03:15:53.409312, 1 40045U 14033AM  18007.13603483 +.00000351 +00000-0 +58353-4 0  9995, 2 40045 097.8452 251.8500 0058336 353.8689 006.1799 14.75032829190540
2018-01-08 13:27:14.677056, 1 40045U 14033AM  18008.56058654  .00000342  00000-0  57118-4 0  9995, 2 40045  97.8450 253.2311 0058235 349.2790  10.7173 14.75033885190993
2018-01-09 13:52:29.810784, 1 40045U 14033AM  18009.57812281 +.00000344 +00000-0 +57383-4 0  9997, 2 40045 097.8449 254.2176 0058163 346.0048 013.9547 14.75034754190909
2018-01-10 14:17:44.915136, 1 40045U 14033AM  18010.59565874 +.00000344 +00000-0 +57407-4 0  9991, 2 40045 097.8449 255.2041 0058087 342.7244 017.1987 14.75035549191051
2018-01-11 14:42:59.981472, 1 40045U 14033AM  18011.61319423 +.00000366 +00000-0 +60592-4 0  9995, 2 40045 097.8448 256.1906 0058016 339.4371 020.4503 14.75036437191201
2018-01-12 05:22:09.001056, 1 40045U 14033AM  18012.22371529  .00000370  00000-0  61144-4 0  9997, 2 40045  97.8448 256.7824 0057968 337.4602  22.4062 14.75036943191536
2018-01-13 13:55:49.019808, 1 40045U 14033AM  18013.58042847 +.00000370 +00000-0 +61074-4 0  9997, 2 40045 097.8447 258.0977 0057869 333.0747 026.7462 14.75037996191496
2018-01-14 14:21:03.980736, 1 40045U 14033AM  18014.59796274 +.00000384 +00000-0 +63199-4 0  9994, 2 40045 097.8447 259.0842 0057797 329.7833 030.0047 14.75038918191645
2018-01-15 14:46:18.913152, 1 40045U 14033AM  18015.61549668 +.00000377 +00000-0 +62166-4 0  9996, 2 40045 097.8446 260.0706 0057730 326.4750 033.2811 14.75039685191796
2018-01-16 03:47:46.868640, 1 40045U 14033AM  18016.15818135  .00000364  00000-0  60250-4 0  9992, 2 40045  97.8446 260.5967 0057689 324.7112  35.0284 14.75040053192118
2018-01-17 04:13:01.757856, 1 40045U 14033AM  18017.17571479  .00000350  00000-0  58346-4 0  9990, 2 40045  97.8445 261.5832 0057616 321.4072  38.3025 14.75040844192261
2018-01-18 14:24:22.578912, 1 40045U 14033AM  18018.60026133 +.00000341 +00000-0 +57033-4 0  9993, 2 40045 097.8443 262.9642 0057528 316.7746 042.8956 14.75041886192237
2018-01-19 14:49:37.413696, 1 40045U 14033AM  18019.61779414  .00000361  00000-0  59813-4 0  9992, 2 40045  97.8442 263.9506 0057466 313.4566  46.1871 14.75042782192623
2018-01-20 15:14:52.221696, 1 40045U 14033AM  18020.63532664 +.00000363 +00000-0 +60109-4 0  9992, 2 40045 097.8441 264.9370 0057403 310.1332 049.4856 14.75043641192532
2018-01-21 07:31:42.091968, 1 40045U 14033AM  18021.31368162 +.00000345 +00000-0 +57646-4 0  9990, 2 40045 097.8440 265.5946 0057356 307.9199 051.6833 14.75044079192636
2018-01-22 14:27:40.805568, 1 40045U 14033AM  18022.60255562 +.00000347 +00000-0 +57907-4 0  9994, 2 40045 097.8439 266.8440 0057287 303.7008 055.8748 14.75045113192825
2018-01-23 05:06:49.665312, 1 40045U 14033AM  18023.21307483  .00000338  00000-0  56550-4 0  9995, 2 40045  97.8439 267.4358 0057253 301.7012  57.8623 14.75045522193151
2018-01-24 05:32:04.425792, 1 40045U 14033AM  18024.23060678  .00000294  00000-0  50278-4 0  9992, 2 40045  97.8438 268.4222 0057198 298.3695  61.1754 14.75046047193300
2018-01-25 14:05:44.067840, 1 40045U 14033AM  18025.58731560 +.00000295 +00000-0 +50418-4 0  9993, 2 40045 097.8437 269.7373 0057126 293.9253 065.5979 14.75047151193261
2018-01-26 14:30:58.781664, 1 40045U 14033AM  18026.60484701 +.00000315 +00000-0 +53211-4 0  9996, 2 40045 097.8436 270.7237 0057084 290.5777 068.9314 14.75048030193412
2018-01-27 14:56:13.503264, 1 40045U 14033AM  18027.62237851 +.00000297 +00000-0 +50602-4 0  9991, 2 40045 097.8436 271.7100 0057040 287.2420 072.2552 14.75048631193567
2018-01-28 13:43:47.244576, 1 40045U 14033AM  18028.57207459 +.00000280 +00000-0 +48159-4 0  9993, 2 40045 097.8436 272.6306 0056990 284.1294 075.3587 14.75049188193709
2018-01-29 04:22:56.064576, 1 40045U 14033AM  18029.18259334  .00000276  00000-0  47616-4 0  9992, 2 40045  97.8436 273.2224 0056962 282.1121  77.3710 14.75049632194032
2018-01-30 04:48:10.771488, 1 40045U 14033AM  18030.20012467 +.00000272 +00000-0 +47008-4 0  9992, 2 40045 097.8435 274.2087 0056933 278.7612 080.7152 14.75050267194183
2018-01-31 14:59:31.360128, 1 40045U 14033AM  18031.62466852 +.00000262 +00000-0 +45544-4 0  9992, 2 40045 097.8434 275.5896 0056900 274.0676 085.4030 14.75051077194151
2018-02-01 13:47:05.079840, 1 40045U 14033AM  18032.57436435 +.00000252 +00000-0 +44162-4 0  9995, 2 40045 097.8433 276.5101 0056877 270.9368 088.5325 14.75051655194294
2018-02-02 14:12:19.776384, 1 40045U 14033AM  18033.59189556 +.00000252 +00000-0 +44162-4 0  9997, 2 40045 097.8432 277.4964 0056854 267.5805 091.8895 14.75052321194440
2018-02-03 14:37:34.475520, 1 40045U 14033AM  18034.60942680 +.00000256 +00000-0 +44783-4 0  9998, 2 40045 097.8430 278.4827 0056839 264.2305 095.2422 14.75052951194598
2018-02-04 15:02:49.171200, 1 40045U 14033AM  18035.62695800 +.00000252 +00000-0 +44122-4 0  9993, 2 40045 097.8429 279.4689 0056834 260.8701 098.6076 14.75053547194741
2018-02-05 13:50:22.880544, 1 40045U 14033AM  18036.57665371 +.00000245 +00000-0 +43166-4 0  9997, 2 40045 097.8428 280.3894 0056825 257.7332 101.7511 14.75054145194884
2018-02-06 14:15:37.577952, 1 40045U 14033AM  18037.59418493 +.00000243 +00000-0 +42888-4 0  9999, 2 40045 097.8427 281.3756 0056822 254.3740 105.1194 14.75054755195034
2018-02-07 09:47:49.337088, 1 40045U 14033AM  18038.40820992  .00000252  00000-0  44159-4 0  9994, 2 40045  97.8426 282.1646 0056822 251.6899 107.8124 14.75055242195398
2018-02-08 15:06:06.967584, 1 40045U 14033AM  18039.62924731  .00000271  00000-0  46853-4 0  9999, 2 40045  97.8425 283.3480 0056833 247.6601 111.8578 14.75056058195578
2018-02-09 13:53:40.669152, 1 40045U 14033AM  18040.57894293 +.00000251 +00000-0 +44002-4 0  9996, 2 40045 097.8424 284.2685 0056843 244.5209 115.0113 14.75056571195475
2018-02-10 14:18:55.355328, 1 40045U 14033AM  18041.59647402 +.00000266 +00000-0 +46117-4 0  9992, 2 40045 097.8424 285.2546 0056858 241.1642 118.3853 14.75057252195623
2018-02-11 14:44:10.040640, 1 40045U 14033AM  18042.61400510 +.00000271 +00000-0 +46911-4 0  9991, 2 40045 097.8423 286.2408 0056877 237.8117 121.7570 14.75057838195770
2018-02-12 15:09:24.703488, 1 40045U 14033AM  18043.63153592 +.00000276 +00000-0 +47590-4 0  9998, 2 40045 097.8422 287.2269 0056906 234.4543 125.1353 14.75058512195928
2018-02-13 07:26:14.481312, 1 40045U 14033AM  18044.30988983 +.00000286 +00000-0 +48952-4 0  9997, 2 40045 097.8422 287.8843 0056921 232.2137 127.3910 14.75058992196267
2018-02-14 14:22:13.049760, 1 40045U 14033AM  18045.59876215 +.00000318 +00000-0 +53652-4 0  9992, 2 40045 097.8420 289.1333 0056966 227.9700 131.6653 14.75059946196217
2018-02-15 14:47:27.694464, 1 40045U 14033AM  18046.61629276 +.00000330 +00000-0 +55297-4 0  9990, 2 40045 097.8418 290.1194 0057000 224.6206 135.0409 14.75060609196367
2018-02-16 13:35:01.345056, 1 40045U 14033AM  18047.56598779 +.00000318 +00000-0 +53620-4 0  9992, 2 40045 097.8417 291.0397 0057037 221.4903 138.1969 14.75061169196503
2018-02-17 14:00:15.944832, 1 40045U 14033AM  18048.58351788 +.00000313 +00000-0 +52929-4 0  9998, 2 40045 097.8415 292.0258 0057079 218.1444 141.5720 14.75061888196654
2018-02-18 04:39:24.702624, 1 40045U 14033AM  18049.19403591  .00000299  00000-0  50902-4 0  9998, 2 40045  97.8415 292.6174 0057110 216.1358 143.5987 14.75062232196982
2018-02-19 05:04:39.282528, 1 40045U 14033AM  18050.21156577  .00000302  00000-0  51332-4 0  9995, 2 40045  97.8413 293.6035 0057164 212.8019 146.9637 14.75062895197135
