# DSX TLE list generated on 2019-11-25 12:19:19.488066
# epoch, line1, line2 
2019-07-31 22:37:59.237472, 1 44344U 19036F   19212.94304673 +.00000006 +00000-0 +00000-0 0  9995, 2 44344 042.2072 190.3282 1959543 015.8250 349.5121 04.54371419001666
2019-08-02 22:09:46.607904, 1 44344U 19036F   19214.92345611 +.00000003 +00000-0 +00000-0 0  9999, 2 44344 042.2069 189.6034 1959613 016.6806 348.9371 04.54371389001758
2019-08-03 19:17:14.431200, 1 44344U 19036F   19215.80363925 +.00000005 +00000-0 +00000-0 0  9997, 2 44344 042.2071 189.2817 1959773 017.0585 348.6826 04.54371319001791
2019-08-05 08:15:18.399744, 1 44344U 19036F   19217.34396296 +.00000008 +00000-0 +00000-0 0  9998, 2 44344 042.2073 188.7185 1959958 017.7210 348.2433 04.54371249001862
2019-08-07 13:03:58.214592, 1 44344U 19036F   19219.54442378 +.00000008 +00000-0 +00000-0 0  9995, 2 44344 042.2072 187.9133 1960184 018.6757 347.6115 04.54371252001969
2019-08-09 23:09:29.358432, 1 44344U 19036F   19221.96492313 -.00000003  00000-0  00000+0 0  9993, 2 44344  42.2062 187.0275 1960275  19.7217 346.9051  4.54371207  2074
2019-08-10 09:43:13.232064, 1 44344U 19036F   19222.40501426 -.00000005 +00000-0 +00000-0 0  9992, 2 44344 042.2039 186.8655 1960514 019.9143 346.7772 04.54371218002095
2019-08-11 22:41:16.389312, 1 44344U 19036F   19223.94532858 -.00000015 +00000-0 +00000-0 0  9996, 2 44344 042.2053 186.3013 1960425 020.5848 346.3226 04.54371275002166
2019-08-12 09:15:00.036576, 1 44344U 19036F   19224.38541709 -.00000017 +00000-0 +00000-0 0  9992, 2 44344 042.2041 186.1399 1960480 020.7754 346.1907 04.54371271002189
2019-08-13 22:13:03.279360, 1 44344U 19036F   19225.92573240 -.00000021 +00000-0 +00000-0 0  9993, 2 44344 042.2033 185.5776 1960629 021.4438 345.7346 04.54371268002250
2019-09-10 05:04:18.340896, 1 44344U 19036F   19253.21132339 -.00000036 +00000-0 +00000-0 0  9992, 2 44344 042.1996 175.5867 1962589 033.2376 337.6990 04.54370856003490
2019-11-24 11:10:23.704032, 1 44344U 19036F   19328.46555213 +.00000021 +00000-0 +00000-0 0  9995, 2 44344 042.2070 148.0223 1969580 065.6988 313.6368 04.54370333006914
