# ELFIN A TLE list generated on 2018-12-10 14:40:19.091249
# epoch, line1, line2 
2018-09-24 12:12:13.643136, 1 43617U 18070E   18267.50849124 -.00000007 +00000-0 +00000-0 0  9992, 2 43617 093.0227 253.2611 0014296 253.5590 106.4099 15.36280107001370
2018-09-25 11:39:11.901024, 1 43617U 18070E   18268.48555441 -.00000007 +00000-0 +00000-0 0  9996, 2 43617 093.0268 253.6652 0012903 250.7402 109.2711 15.36284775001522
2018-09-26 09:32:21.187680, 1 43617U 18070E   18269.39746745 -.00000007 +00000-0 +00000-0 0  9996, 2 43617 093.0237 254.0393 0013353 250.5057 109.5015 15.36291056001664
2018-09-27 01:10:19.372512, 1 43617U 18070E   18270.04883533 -.00000007  00000-0  00000+0 0  9996, 2 43617  93.0240 254.3057 0013494 244.7316 115.3037 15.36295615  1762
2018-10-01 05:13:13.947456, 1 43617U 18070E   18274.21752254 -.00000007 +00000-0 +00000-0 0  9995, 2 43617 093.0263 256.0292 0014532 221.1785 138.8536 15.36322404002403
2018-10-02 09:21:31.658400, 1 43617U 18070E   18275.38994975 -.00000007 +00000-0 +00000-0 0  9992, 2 43617 093.0245 256.5083 0016088 215.6164 144.4215 15.36332451002582
2018-10-03 08:48:26.596800, 1 43617U 18070E   18276.36697450 -.00000007 +00000-0 +00000-0 0  9999, 2 43617 093.0271 256.9124 0015454 214.8625 145.1688 15.36336718002739
2018-10-04 11:22:56.813952, 1 43617U 18070E   18277.47426868 -.00000006  00000-0  00000+0 0  9993, 2 43617  93.0271 257.3710 0015114 209.5604 150.5097 15.36344422  2900
2018-10-05 03:00:52.604640, 1 43617U 18070E   18278.12560885 -.00000006  00000-0  00000+0 0  9994, 2 43617  93.0249 257.6379 0015393 207.9121 152.1569 15.36350076  3000
2018-10-06 02:27:46.686816, 1 43617U 18070E   18279.10262369 -.00000006  00000-0  00000+0 0  9999, 2 43617  93.0264 258.0397 0015605 202.6539 157.4253 15.36353668  3157
2018-10-07 17:32:36.492288, 1 43617U 18070E   18280.73097792 -.00000006  00000-0  00000+0 0  9996, 2 43617  93.0273 258.7137 0015386 195.9184 164.2191 15.36363739  3407
2018-10-08 10:44:19.161600, 1 43617U 18070E   18281.44744400 -.00000006  00000-0  00000+0 0  9990, 2 43617  93.0264 259.0085 0015643 189.3391 170.8014 15.36368861  3516
2018-10-09 08:37:23.879424, 1 43617U 18070E   18282.35930416 -.00000006  00000-0  00000+0 0  9995, 2 43617  93.0276 259.3846 0016481 187.7230 172.3967 15.36373696  3653
2018-10-10 04:56:41.473248, 1 43617U 18070E   18283.20603557 -.00000006  00000-0  00000+0 0  9993, 2 43617  93.0254 259.7324 0016871 182.7605 177.3747 15.36379317  3789
2018-10-11 09:04:54.982560, 1 43617U 18070E   18284.37841415 -.00000006  00000-0  00000+0 0  9999, 2 43617  93.0274 260.2175 0017772 180.4348 179.7598 15.36397307  3961
2018-10-12 08:31:45.921504, 1 43617U 18070E   18285.35539261 -.00000006  00000-0  00000+0 0  9991, 2 43617  93.0293 260.6197 0016724 176.3314 183.8441 15.36402053  4119
2018-10-13 04:51:01.459872, 1 43617U 18070E   18286.20210023 -.00000006 +00000-0 +00000-0 0  9999, 2 43617 093.0292 260.9670 0016451 172.2092 187.9626 15.36409482004249
2018-10-14 08:59:13.174656, 1 43617U 18070E   18287.37445804 -.00000006  00000-0  00000+0 0  9994, 2 43617  93.0289 261.4556 0016883 166.2442 193.9775 15.36424511  4427
2018-10-15 02:10:52.778496, 1 43617U 18070E   18288.09088864 -.00000006  00000-0  00000+0 0  9993, 2 43617  93.0295 261.7488 0016172 165.1862 194.9934 15.36430291  4538
2018-10-16 09:26:38.485536, 1 43617U 18070E   18289.39350099 -.00000006  00000-0  00000+0 0  9999, 2 43617  93.0318 262.2849 0016888 159.9339 200.2906 15.36442036  4737
2018-10-17 15:08:34.478304, 1 43617U 18070E   18290.63095461 -.00000006  00000-0  00000+0 0  9997, 2 43617  93.0299 262.7984 0018942 157.7940 202.4199 15.36455006  4927
2018-10-18 05:12:39.552480, 1 43617U 18070E   18291.21712445 -.00000006  00000-0  00000+0 0  9990, 2 43617  93.0319 263.0417 0018360 154.3328 205.9069 15.36459279  5013
2018-10-19 01:31:53.203872, 1 43617U 18070E   18292.06381023 -.00000006  00000-0  00000+0 0  9998, 2 43617  93.0331 263.3916 0017406 148.0640 212.1845 15.36464178  5141
2018-10-20 08:47:35.320128, 1 43617U 18070E   18293.36638102 -.00000006  00000-0  00000+0 0  9995, 2 43617  93.0307 263.9265 0019759 147.1668 213.1044 15.36477560  5343
2018-10-21 08:14:22.485120, 1 43617U 18070E   18294.34331580 -.00000006 +00000-0 +00000-0 0  9995, 2 43617 093.0295 264.3280 0018879 142.0409 218.2296 15.36480912005496
2018-12-10 03:51:29.168064, 1 43617U 18070E   18344.16075426  .00004079  00000-0  11316-3 0  9993, 2 43617  93.0385 284.9250 0015238 329.1319  30.9037 15.36859816 13141
